"8/25/22, 7:23 PM",,,,,,,NOWData Results,,,,,,
,,,"Monthly Total Precipitation for ANN ARBOR U OF MICH, MI ",,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2017,4,2.04,5.05,4.61,3.85,1.37,3.58,2.77,1.62,5.19,4.46,2.23,40.77
2018,1.71,4.41,3.35,3.81,6.74,3.26,1.14,3.67,4.07,3.99,3.66,2.39,42.2
2019,2.18,2.73,3,4.71,4.66,5.53,5.13,2.81,4.66,4.81,2.42,2.79,45.43
2020,4.98,1.72,4.14,2.72,4.1,3.11,3.5,5.01,2.26,2.58,2.49,1.67,38.28
2021,1.71,2.02,1.96,3.28,2.39,8.13,4.94,5.43,6.72,6,1.97,3.58,48.13
Mean,2.92,2.58,3.5,3.83,4.35,4.28,3.66,3.94,3.87,4.51,3,2.53,42.96
Max,4.98,4.41,5.05,4.71,6.74,8.13,5.13,5.43,6.72,6,4.46,3.58,48.13
,2020,2018,2017,2019,2018,2021,2019,2021,2021,2021,2017,2021,2021
Min,1.71,1.72,1.96,2.72,2.39,1.37,1.14,2.77,1.62,2.58,1.97,1.67,38.28
,2021,2020,2021,2020,2021,2017,2018,2017,2017,2020,2021,2020,2020
,,,,,,,,,,,,,1/1
